accumulated_rewards,total_staked,block_number,timestamp,deltaGeneratedRewards,deltaRewardsForLsDistribution,rewardsForLsDistribution
735249812490,35091293651441,3010804,1716360828002,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010805,1716360840002,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010806,1716360852001,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010807,1716360864001,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010808,1716360876002,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010809,1716360888000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010810,1716360900000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010811,1716360912005,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010812,1716360924001,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010813,1716360936001,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010814,1716360948000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010815,1716360960000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010816,1716360972000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010817,1716360984003,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010818,1716360996002,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010819,1716361008000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010820,1716361020002,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010821,1716361032001,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010822,1716361044000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010823,1716361056000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010824,1716361068000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010825,1716361080000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010826,1716361092001,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010827,1716361104000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
